algorithm,lambda,seed,total_cost,total_emission,service_level,total_reward
MAPPO_zeroshot,0.05,2000,10354.4429,12791.141718753532,0.009365056269658714,-384.1489634559519
NearestNeighbor,0.05,2000,24593.761799999993,32409.817555384612,0.00669764013292448,-404.6146800154155
GeneticAlgorithm,0.05,2000,12258.8412,14467.532465750466,0.003736486582501959,-395.2377171253785
MAPPO_zeroshot,0.05,2001,6557.740899999999,7358.131243984984,0.009932841161210876,-376.02822840233705
NearestNeighbor,0.05,2001,24593.761799999993,32409.817555384612,0.006391740681072479,-407.2894738710377
GeneticAlgorithm,0.05,2001,13893.502600000022,25767.34714855722,0.0023067384222662064,-409.02901418908806
MAPPO_zeroshot,0.05,2002,6858.4491,8283.725436314871,0.006955500507600673,-404.4589824508216
NearestNeighbor,0.05,2002,24593.761799999993,32409.817555384612,0.0060275256110335846,-425.9404639788296
GeneticAlgorithm,0.05,2002,17823.056300000015,23092.27907423919,0.001973962744331017,-431.66163526494796
MAPPO_zeroshot,0.05,2003,5999.843900000001,6438.152998887117,0.010682377178616833,-385.34851140928924
NearestNeighbor,0.05,2003,24593.761799999993,32409.817555384612,0.006227210774910404,-420.62299681199767
GeneticAlgorithm,0.05,2003,37455.85110000002,50708.26920373576,0.003831148461414602,-435.6232461379361
MAPPO_zeroshot,0.05,2004,14433.945900000004,18359.744564428416,0.008618258535884533,-407.31094287826846
NearestNeighbor,0.05,2004,24593.761799999993,32409.817555384612,0.0061635501807517385,-423.91988042760835
GeneticAlgorithm,0.05,2004,19748.725900000023,29778.066486622025,0.0035809587949612643,-422.47288053203437
MAPPO_zeroshot,0.05,2005,7028.6929,7968.539989158348,0.008525501402238213,-402.6731018974714
NearestNeighbor,0.05,2005,24593.761799999993,32409.817555384612,0.006128346625250087,-427.9784846314887
GeneticAlgorithm,0.05,2005,13352.317799999983,13870.101009999971,0.001043120523594315,-431.46949225146864
MAPPO_zeroshot,0.05,2006,5069.261399999999,5475.511698887117,0.009598405896994195,-373.604870980387
NearestNeighbor,0.05,2006,24593.761799999993,32409.817555384612,0.006535547686746587,-406.5215969139187
GeneticAlgorithm,0.05,2006,31877.788399999965,35801.73994798459,0.002966335401806113,-420.94432494162226
MAPPO_zeroshot,0.05,2007,6514.268399999999,7105.597199158347,0.010703546937240674,-360.99152055177836
NearestNeighbor,0.05,2007,24593.761799999993,32409.817555384612,0.006534730212143982,-391.70876886352994
GeneticAlgorithm,0.05,2007,19308.460800000008,27930.729075687188,0.003584522411442146,-390.213324063143
MAPPO_zeroshot,0.05,2008,7444.8508999999995,8375.860849158347,0.010676910253018644,-375.11492150575305
NearestNeighbor,0.05,2008,24593.761799999993,32409.817555384612,0.006518467981861617,-405.8098605986723
GeneticAlgorithm,0.05,2008,18564.574999999997,26717.24029037092,0.002437564131249569,-410.09808307800915
MAPPO_zeroshot,0.05,2009,7290.987900000001,8622.52243071005,0.0075531980790802585,-390.5981559364102
NearestNeighbor,0.05,2009,24593.761799999993,32409.817555384612,0.006287686881606335,-418.3090435728804
GeneticAlgorithm,0.05,2009,27456.972700000006,38707.57452934699,0.00366268423142538,-423.0390507103254
MAPPO_zeroshot,0.05,2010,7861.0089,8800.183870304392,0.01186014995473921,-382.86498314400785
NearestNeighbor,0.05,2010,24593.761799999993,32409.817555384612,0.0063811122820070666,-416.0875395939606
GeneticAlgorithm,0.05,2010,16267.031500000017,18334.539054032848,0.0036045708333268334,-408.41465642317723
MAPPO_zeroshot,0.05,2011,7861.0089,8800.183870304392,0.011738849235841163,-372.70443153289386
NearestNeighbor,0.05,2011,24593.761799999993,32409.817555384612,0.006315848899154289,-407.08191220531717
GeneticAlgorithm,0.05,2011,11659.9817,13764.820417992842,0.0012507288273379544,-409.1813369894298
MAPPO_zeroshot,0.05,2012,7861.0089,8800.183870304392,0.012203735407595543,-370.5422851995353
NearestNeighbor,0.05,2012,24593.761799999993,32409.817555384612,0.006565971441586954,-403.5942881552441
GeneticAlgorithm,0.05,2012,25980.67870000001,35127.965513003706,0.002252619968823201,-416.12847068968927
MAPPO_zeroshot,0.05,2013,6763.885899999999,7266.700333282858,0.010436404122790562,-401.23201906372043
NearestNeighbor,0.05,2013,24593.761799999993,32409.817555384612,0.0061937452746967546,-434.80678844026795
GeneticAlgorithm,0.05,2013,14164.226199999966,16924.182997971442,0.003424628754282324,-427.88633107794
MAPPO_zeroshot,0.05,2014,10967.384900000001,13184.189927283438,0.010606811382647097,-363.54178463302094
NearestNeighbor,0.05,2014,24593.761799999993,32409.817555384612,0.006475671214701811,-390.21887482115204
GeneticAlgorithm,0.05,2014,19637.88580000003,25165.865386145728,0.0036695242225326936,-387.7498067659498
MAPPO_zeroshot,0.1,2000,10354.4429,12791.141718753532,0.009365056269658714,-384.99752750114345
NearestNeighbor,0.1,2000,24593.761799999993,32409.817555384612,0.00669764013292448,-407.5037217441786
GeneticAlgorithm,0.1,2000,12258.8412,14467.532465750466,0.003736486582501959,-397.3531493745114
MAPPO_zeroshot,0.1,2001,6506.674499999999,7305.539483984985,0.009932841161210876,-375.78097938100376
