variant,scenario,mask_mode,corrupt_prob,seed,total_cost,total_emission,service_level,total_reward,invalid_action_count
none,S2_MEDIUM,none,0.0,1000,0.0,0.0,4.163995297177609e-15,-401.44360383193566,2000
none,S2_MEDIUM,none,0.0,1001,0.0,0.0,-6.278334667418766e-16,-375.16690006996976,2000
none,S2_MEDIUM,none,0.0,1002,0.0,0.0,2.397534979272686e-16,-386.84046365381863,2000
none,S2_MEDIUM,none,0.0,1003,0.0,0.0,3.5938741723257086e-16,-410.28358111704443,2000
none,S2_MEDIUM,none,0.0,1004,0.0,0.0,2.440628620612646e-16,-388.71447772486306,2000
none,S2_MEDIUM,none,0.0,1005,0.0,0.0,2.458560997873282e-16,-400.8506899697494,2000
none,S2_MEDIUM,none,0.0,1006,0.0,0.0,-8.507639159554526e-16,-413.32067598377677,2000
none,S2_MEDIUM,none,0.0,1007,0.0,0.0,9.111429526053176e-16,-381.9826302184215,2000
none,S2_MEDIUM,none,0.0,1008,0.0,0.0,1.1930145283686734e-16,-403.3514247259961,2000
none,S2_MEDIUM,none,0.0,1009,0.0,0.0,-1.2091643786432577e-16,-396.5811933314982,2000
none,S2_MEDIUM,none,0.0,1010,0.0,0.0,2.5102544703096552e-15,-405.96772566806584,2000
none,S2_MEDIUM,none,0.0,1011,0.0,0.0,9.717007740378668e-16,-401.9675313593879,2000
none,S2_MEDIUM,none,0.0,1012,0.0,0.0,-9.59480236462916e-16,-409.5736974681071,2000
none,S2_MEDIUM,none,0.0,1013,0.0,0.0,0.0,-403.2369851076652,2000
none,S2_MEDIUM,none,0.0,1014,0.0,0.0,-1.3306834391616907e-15,-397.49106658802873,2000
none,S2_MEDIUM,none,0.0,1015,0.0,0.0,1.6657517277017646e-15,-411.62455284398914,2000
none,S2_MEDIUM,none,0.0,1016,0.0,0.0,3.5159167785950387e-15,-399.7531298911719,2000
none,S2_MEDIUM,none,0.0,1017,0.0,0.0,1.089550983801945e-15,-396.4428218306074,2000
none,S2_MEDIUM,none,0.0,1018,0.0,0.0,3.3660545372170876e-15,-416.29073984322747,2000
none,S2_MEDIUM,none,0.0,1019,0.0,0.0,3.3777059237497984e-15,-414.8214391766599,2000
none,S2_MEDIUM,none,0.0,1020,0.0,0.0,1.3199656508217545e-15,-408.5674609014966,2000
none,S2_MEDIUM,none,0.0,1021,0.0,0.0,8.359363083632008e-16,-398.63170073634456,2000
none,S2_MEDIUM,none,0.0,1022,0.0,0.0,2.6809392299758954e-15,-399.1372406632129,2000
none,S2_MEDIUM,none,0.0,1023,0.0,0.0,-4.819119791756988e-16,-398.34762961969176,2000
none,S2_MEDIUM,none,0.0,1024,0.0,0.0,5.988980659245785e-16,-388.05307900865586,2000
none,S2_MEDIUM,none,0.0,1025,0.0,0.0,-9.809233161085113e-16,-403.3173438919459,2000
none,S2_MEDIUM,none,0.0,1026,0.0,0.0,1.7166380702999748e-15,-402.6665865247594,2000
none,S2_MEDIUM,none,0.0,1027,0.0,0.0,-1.981393069707581e-15,-399.46066759185936,2000
none,S2_MEDIUM,none,0.0,1028,0.0,0.0,-5.940513637605716e-16,-408.4809656026714,2000
none,S2_MEDIUM,none,0.0,1029,0.0,0.0,1.8498295490939376e-15,-415.1764329358185,2000
