algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
MAPPO,S2_MEDIUM,1000,9823.703399999999,11365.204079990064,0.011486868924488976,-375.20681613792823,191.66270983011458,1181.9202775336414,0.7520339488983154
NearestNeighbor,S2_MEDIUM,1000,24593.761799999993,32409.817555384612,0.0064235261313672735,-405.76233067731533,501.01421506698296,563.5199107786458,0.5177445411682129
ClarkeWright,S2_MEDIUM,1000,72352.55450000001,96206.96662501266,0.004740059164093907,-451.07169054094004,1552.9501229676848,375.7875663471745,0.5306351184844971
GeneticAlgorithm,S2_MEDIUM,1000,5674.635800000009,7102.147334977229,0.0024461971191251904,-391.32790239198596,136.45130816023917,260.07114906035855,0.6993539333343506
MAPPO,S2_MEDIUM,1001,7444.8508999999995,8375.860849158347,0.011104674230737629,-350.03839270981257,159.91706119196053,1063.829477834007,0.5408906936645508
NearestNeighbor,S2_MEDIUM,1001,24593.761799999993,32409.817555384612,0.006779626474952384,-380.58004277152037,576.8179107324956,563.5199107786458,0.513420581817627
ClarkeWright,S2_MEDIUM,1001,72352.55450000001,96206.96662501266,0.005002833326200391,-425.01754089541026,1568.8097565749924,375.7875663471745,0.544391393661499
GeneticAlgorithm,S2_MEDIUM,1001,11786.839499999975,12606.855057032684,0.0032580746503338294,-371.44716028226895,257.3524317476846,314.1875667747447,0.7131717205047607
MAPPO,S2_MEDIUM,1002,9715.5677,11712.636123984983,0.01005820792823118,-363.5066524534604,206.34560937734267,1157.4255736196508,0.5528566837310791
NearestNeighbor,S2_MEDIUM,1002,24593.761799999993,32409.817555384612,0.006472413657898533,-391.55187870194766,527.5611148281033,563.5199107786458,0.5411703586578369
ClarkeWright,S2_MEDIUM,1002,72352.55450000001,96206.96662501266,0.0047761343295713455,-437.0236042581004,1591.668101612661,375.7875663471745,0.5624098777770996
GeneticAlgorithm,S2_MEDIUM,1002,8982.364400000017,15798.927784316991,0.0014415483326131778,-389.87589961363864,246.30497498556008,115.8999996519182,0.7801430225372314
MAPPO,S2_MEDIUM,1003,6930.4264,7529.9202203043915,0.012021722966876928,-380.3189051848483,141.85525861387302,1237.220236478857,0.5574238300323486
NearestNeighbor,S2_MEDIUM,1003,24593.761799999993,32409.817555384612,0.00646804335253453,-415.3377242132409,551.8238820461651,563.5199107786458,0.5373547077178955
ClarkeWright,S2_MEDIUM,1003,72352.55450000001,96206.96662501266,0.004772909386515578,-460.1602547669395,1570.612895931126,375.7875663471745,0.5664770603179932
GeneticAlgorithm,S2_MEDIUM,1003,16424.324099999987,18455.23201252449,0.002412576748058882,-413.25980627261566,345.96726847713643,225.17114846896877,0.8370718955993652
MAPPO,S2_MEDIUM,1004,4656.366399999999,4993.980648008852,0.008202964960916888,-365.3220904939419,94.74204894963142,948.9907576516408,0.6395604610443115
NearestNeighbor,S2_MEDIUM,1004,24593.761799999993,32409.817555384612,0.006588749759431428,-394.3688376860741,593.5255997132992,563.5199107786458,0.6288478374481201
ClarkeWright,S2_MEDIUM,1004,72352.55450000001,96206.96662501266,0.004861981260510577,-438.26593542184264,1548.087115642644,375.7875663471745,0.6614956855773926
GeneticAlgorithm,S2_MEDIUM,1004,8984.608200000015,15851.491844209957,0.0012511017803431153,-393.57696223711434,257.541152261174,90.09999965191818,0.8802871704101562
MAPPO,S2_MEDIUM,1005,8060.9304,9813.391330475082,0.0075420185169250455,-380.4726973660527,151.40591284329105,669.7148631413709,0.7120516300201416
NearestNeighbor,S2_MEDIUM,1005,24593.761799999993,32409.817555384612,0.006637160216214645,-405.94978143053834,555.0654438398874,563.5199107786458,0.9468307495117188
ClarkeWright,S2_MEDIUM,1005,72352.55450000001,96206.96662501266,0.004897704385881341,-451.5653449961437,1626.9705355282515,375.7875663471745,1.1406679153442383
GeneticAlgorithm,S2_MEDIUM,1005,16195.303599999996,24661.36789670612,0.0022217638658367685,-409.92808605720313,387.83865751609994,184.81641746260306,1.4902117252349854
MAPPO,S2_MEDIUM,1006,7577.0144,8400.292920304391,0.012196525393826898,-383.90559221227625,150.1757571506782,1237.220236478857,0.895035982131958
NearestNeighbor,S2_MEDIUM,1006,24593.761799999993,32409.817555384612,0.006562092240430973,-418.37959784370423,552.283133823528,563.5199107786458,0.8342647552490234
ClarkeWright,S2_MEDIUM,1006,72352.55450000001,96206.96662501266,0.004842310099430454,-463.09906333535554,1562.5894146872693,375.7875663471745,0.7811498641967773
GeneticAlgorithm,S2_MEDIUM,1006,19130.08060000005,23650.175252541358,0.002593355497361795,-423.8487557197599,389.3377637211133,235.31641754642212,0.9679114818572998
MAPPO,S2_MEDIUM,1007,6199.6399,6418.285209990065,0.012567472968977873,-352.2785126367376,123.4497957316534,1181.9202775336414,0.6548349857330322
NearestNeighbor,S2_MEDIUM,1007,24593.761799999993,32409.817555384612,0.00702780640678845,-386.44278382785046,510.81000824785843,563.5199107786458,0.6089105606079102
ClarkeWright,S2_MEDIUM,1007,72352.55450000001,96206.96662501266,0.005185970677273277,-431.9429179694695,1575.4896657133106,375.7875663471745,0.6178967952728271
GeneticAlgorithm,S2_MEDIUM,1007,16996.273000000023,24866.797079471766,0.00288295976108738,-389.3643760377656,371.1909003048362,242.31641746032133,0.8093712329864502
MAPPO,S2_MEDIUM,1008,6003.106899999999,6519.556433282857,0.009609112403282516,-375.6272931861205,133.47663874557472,1142.8907576516408,0.614666223526001
NearestNeighbor,S2_MEDIUM,1008,24593.761799999993,32409.817555384612,0.006441352133954749,-408.05266222955544,527.5084597893879,563.5199107786458,0.6041691303253174
ClarkeWright,S2_MEDIUM,1008,72352.55450000001,96206.96662501266,0.0047532133577858245,-452.8399680708834,1543.1564266752907,375.7875663471745,0.772467851638794
GeneticAlgorithm,S2_MEDIUM,1008,5281.416300000011,5794.501584977226,0.0018631665626468005,-395.1137503684452,146.42567953422346,182.9711490603586,0.8034615516662598
MAPPO,S2_MEDIUM,1009,5999.843900000001,6438.152998887117,0.011199303039552638,-366.1256727647004,122.9314709209736,1237.220236478857,0.6071093082427979
NearestNeighbor,S2_MEDIUM,1009,24593.761799999993,32409.817555384612,0.006528548785844098,-401.2340772589562,524.1592943451345,563.5199107786458,0.6093077659606934
ClarkeWright,S2_MEDIUM,1009,72352.55450000001,96206.96662501266,0.004817557657227066,-445.7210559156668,1518.752583080607,375.7875663471745,0.6311638355255127
GeneticAlgorithm,S2_MEDIUM,1009,12259.386100000003,19980.990987166155,0.0022780951097796324,-396.60849436989787,310.3609834706732,196.2711490603586,0.8780617713928223
MAPPO,S2_MEDIUM,1010,3815.8123000000005,3934.806129206789,0.008444655439515792,-374.0550464596267,73.13925241602752,917.7508895955386,0.6354727745056152
NearestNeighbor,S2_MEDIUM,1010,24593.761799999993,32409.817555384612,0.006454011926694998,-411.44466220503574,581.2365313675913,563.5199107786458,0.6317555904388428
ClarkeWright,S2_MEDIUM,1010,72352.55450000001,96206.96662501266,0.004762555293254003,-455.03324446746507,1514.0583883687775,375.7875663471745,0.6434323787689209
GeneticAlgorithm,S2_MEDIUM,1010,29033.244100000025,33613.53147847131,0.002123850559704898,-426.77366258293256,594.331736728275,177.61641781068488,0.8528439998626709
MAPPO,S2_MEDIUM,1011,8175.6374000000005,9373.39897728344,0.010741722444174035,-377.37213158627304,161.17297023959216,1063.829477834007,0.6011049747467041
NearestNeighbor,S2_MEDIUM,1011,24593.761799999993,32409.817555384612,0.006558037125262278,-407.64376901036974,595.0104568857165,563.5199107786458,0.6070683002471924
ClarkeWright,S2_MEDIUM,1011,72352.55450000001,96206.96662501266,0.004839317742052177,-451.06487873397106,1516.1956159506872,375.7875663471745,0.6218814849853516
GeneticAlgorithm,S2_MEDIUM,1011,27106.106099999986,39896.29400156815,0.00374087279789522,-408.63662640079514,595.148067387454,335.2875666277355,0.8282737731933594
MAPPO,S2_MEDIUM,1012,7435.814900000001,8362.372520718378,0.011378036888454846,-376.3274057941245,155.2643912137716,1157.4255736196508,0.5880072116851807
NearestNeighbor,S2_MEDIUM,1012,24593.761799999993,32409.817555384612,0.006475560357464692,-413.853528422725,498.3201273951551,563.5199107786458,0.6078674793243408
ClarkeWright,S2_MEDIUM,1012,72352.55450000001,96206.96662501266,0.00477845634738642,-458.67032953915356,1515.3148869233971,375.7875663471745,0.6198291778564453
GeneticAlgorithm,S2_MEDIUM,1012,10510.993799999982,12499.011680000005,0.0010898577939559002,-416.0165957840547,242.32325793595894,93.1,0.8319063186645508
MAPPO,S2_MEDIUM,1013,7086.0464,7884.9315509402595,0.011095093601384881,-369.59147705031353,145.0002607268321,1157.4255736196508,0.5905046463012695
NearestNeighbor,S2_MEDIUM,1013,24593.761799999993,32409.817555384612,0.0063145293860309365,-408.1940530512171,544.509022375502,563.5199107786458,0.58884596824646
ClarkeWright,S2_MEDIUM,1013,72352.55450000001,96206.96662501266,0.00465962810317366,-454.2663688003482,1650.4542841762122,375.7875663471745,0.6002967357635498
GeneticAlgorithm,S2_MEDIUM,1013,10844.795499999982,12070.99644377885,0.0019891925346125446,-404.3707881870023,220.32334726526105,200.51641781068489,0.7934088706970215
MAPPO,S2_MEDIUM,1014,6930.4264,7529.9202203043915,0.012139678060614823,-367.5787888394563,145.03954140655844,1237.220236478857,0.6004557609558105
NearestNeighbor,S2_MEDIUM,1014,24593.761799999993,32409.817555384612,0.006531506689864934,-402.18069684361006,526.1312107790051,563.5199107786458,0.5879526138305664
ClarkeWright,S2_MEDIUM,1014,72352.55450000001,96206.96662501266,0.004819740358717257,-446.5389847314745,1512.9157475571315,375.7875663471745,0.6001887321472168
GeneticAlgorithm,S2_MEDIUM,1014,14006.526399999988,17827.12380497724,0.00249027946024225,-398.89341724620505,356.68024858312583,220.7711490603586,0.827380895614624
MAPPO,S2_MEDIUM,1015,7608.753900000001,9276.568875603216,0.008717644447873015,-387.8941246225771,153.91427735367975,843.1056217862206,0.5979781150817871
NearestNeighbor,S2_MEDIUM,1015,24593.761799999993,32409.817555384612,0.006424118537376264,-416.27877860977355,524.2522355278963,563.5199107786458,0.5948004722595215
ClarkeWright,S2_MEDIUM,1015,72352.55450000001,96206.96662501266,0.004740496313327768,-461.6061176102806,1577.878081482395,375.7875663471745,0.6151986122131348
GeneticAlgorithm,S2_MEDIUM,1015,3952.028599999994,2946.1963190487345,0.001953263528561133,-406.3518325358253,73.58595839870733,209.6999996194616,0.8094875812530518
MAPPO,S2_MEDIUM,1016,6347.2279,6958.534366031765,0.00918859863752154,-374.09527903877256,134.04601458070476,1039.334773636755,0.5855684280395508
NearestNeighbor,S2_MEDIUM,1016,24593.761799999993,32409.817555384612,0.006545938159202891,-404.7287542213302,546.5136079520593,563.5199107786458,0.5703420639038086
ClarkeWright,S2_MEDIUM,1016,72352.55450000001,96206.96662501266,0.004830389652749089,-449.08600429246593,1532.5765252965537,375.7875663471745,0.5724074840545654
GeneticAlgorithm,S2_MEDIUM,1016,27250.395699999972,37899.189950268934,0.0034123773884133213,-411.91750703078367,621.3237662190703,294.78756687104345,0.7588210105895996
MAPPO,S2_MEDIUM,1017,7499.1803,8175.068849990064,0.0116886546466731,-368.2513957595903,161.28501126238285,1181.9202775336414,0.5652754306793213
NearestNeighbor,S2_MEDIUM,1017,24593.761799999993,32409.817555384612,0.006536365919815446,-401.01749793326616,518.6198821766693,563.5199107786458,0.5513734817504883
ClarkeWright,S2_MEDIUM,1017,72352.55450000001,96206.96662501266,0.004823326089823445,-445.64913612040334,1524.0547282441848,375.7875663471745,0.5679712295532227
GeneticAlgorithm,S2_MEDIUM,1017,3661.059799999995,1979.2347488418964,0.0017561173228491014,-393.4310801829088,72.60070601139633,181.89999949876218,0.760798454284668
MAPPO,S2_MEDIUM,1018,7764.396100000001,8892.88116322101,0.010391803035521218,-383.6016444608996,154.71645559080739,1107.9244301967321,0.5448722839355469
NearestNeighbor,S2_MEDIUM,1018,24593.761799999993,32409.817555384612,0.006490743185419201,-421.8005987569113,583.5168691486423,563.5199107786458,0.5534405708312988
ClarkeWright,S2_MEDIUM,1018,72352.55450000001,96206.96662501266,0.0047896600852273905,-465.9939820434294,1558.2243605314916,375.7875663471745,0.5704662799835205
GeneticAlgorithm,S2_MEDIUM,1018,21850.42730000001,22912.56502540541,0.0024602413033147923,-428.37225662867314,445.20085970672,226.8164178106849,0.7623260021209717
MAPPO,S2_MEDIUM,1019,8791.591400000001,10070.447520304393,0.011688235150223783,-386.55174784098506,173.31615400440575,1237.220236478857,0.5665373802185059
