algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
MAPPO,S3_LARGE,1000,45123.70600000002,62904.02697401043,0.0009045030163817617,-1079.2285398886731,1255.9712714372897,2116.214485700526,3.326061964035034
NearestNeighbor,S3_LARGE,1000,217916.87620000067,348583.03917014226,0.0004082009847736966,-1136.7952404447537,5580.668977917301,661.8475031406575,5.862786293029785
ClarkeWright,S3_LARGE,1000,196900.5137999999,313948.1016221496,0.0008385014411449075,-1126.133634639713,6555.014858899202,1941.4529962616136,4.096062421798706
GeneticAlgorithm,S3_LARGE,1000,89127.03880000013,127671.51016218911,0.0005475948745140873,-1091.725827537427,2479.2971017172426,1261.8009510857773,3.7908501625061035
MAPPO,S3_LARGE,1001,35630.93530000002,48323.984990812976,0.0006641868447819573,-1037.0346823423492,1215.0537915750863,1680.0827350636248,2.778876781463623
NearestNeighbor,S3_LARGE,1001,217916.87620000067,348583.03917014226,0.00041934815133581475,-1093.1447612876868,6602.59130779232,661.8475031406575,5.733028888702393
ClarkeWright,S3_LARGE,1001,196900.5137999999,313948.1016221496,0.000861399267412674,-1075.1540581284391,5525.966508379143,1941.4529962616136,4.358994722366333
GeneticAlgorithm,S3_LARGE,1001,123653.63630000009,175638.47215705115,0.0007515776433729792,-1054.8641614676724,3197.037783886045,1857.5684457649588,4.181024074554443
MAPPO,S3_LARGE,1002,15091.433299999999,19747.314672541874,0.0004847942105237838,-1023.2443588765293,317.83829543472893,786.1317484941142,2.995757818222046
NearestNeighbor,S3_LARGE,1002,217916.87620000067,348583.03917014226,0.0004349304347232079,-1085.6701008910811,6532.589405902072,661.8475031406575,9.229220628738403
ClarkeWright,S3_LARGE,1002,196900.5137999999,313948.1016221496,0.0008934074387935778,-1068.1242561515328,5581.305319292471,1941.4529962616136,5.9950573444366455
GeneticAlgorithm,S3_LARGE,1002,67535.98680000001,108725.78126381354,0.0008072598873650159,-1033.0654136443995,1927.9402630373108,1878.1708027071684,4.369699716567993
MAPPO,S3_LARGE,1003,14392.300000000001,18687.921586071454,0.0004775298328741873,-1074.0030714004567,287.09497327056675,786.1317484941142,2.7676777839660645
NearestNeighbor,S3_LARGE,1003,217916.87620000067,348583.03917014226,0.0004284132382576532,-1138.4978575819841,7047.043237324814,661.8475031406575,5.697320938110352
ClarkeWright,S3_LARGE,1003,196900.5137999999,313948.1016221496,0.000880020213310891,-1118.246462704263,5337.737263608702,1941.4529962616136,4.089783668518066
GeneticAlgorithm,S3_LARGE,1003,84881.4838999999,119048.76827647089,0.0007071287338375755,-1088.3330613799906,2240.9432184394755,1660.811770633261,3.9641242027282715
MAPPO,S3_LARGE,1004,23174.7384,33107.73591609245,0.0004699284497846646,-1081.5090601024933,481.9277313421102,786.1317484941142,2.854222297668457
NearestNeighbor,S3_LARGE,1004,217916.87620000067,348583.03917014226,0.0004215936996244572,-1144.5471342696476,7277.395663534077,661.8475031406575,6.030778646469116
ClarkeWright,S3_LARGE,1004,196900.5137999999,313948.1016221496,0.0008660119350541835,-1122.5502981713541,5079.145532418023,1941.4529962616136,4.7711780071258545
GeneticAlgorithm,S3_LARGE,1004,118974.75809999998,190694.33319588652,0.0011659749418918607,-1099.229092470115,3308.7780861293836,2861.6594124153407,6.372116565704346
MAPPO,S3_LARGE,1005,23274.1944,33874.85017809284,0.0003768692841257681,-1072.8554803364625,472.99492831590015,786.1317484941142,6.056924104690552
NearestNeighbor,S3_LARGE,1005,217916.87620000067,348583.03917014226,0.0004299223030824679,-1128.78813515694,5573.660821797195,661.8475031406575,8.502357959747314
ClarkeWright,S3_LARGE,1005,196900.5137999999,313948.1016221496,0.000883120041756896,-1114.9788763328072,5667.129675898723,1941.4529962616136,4.861494779586792
GeneticAlgorithm,S3_LARGE,1005,115466.70250000006,176334.55680256232,0.0011759551525998622,-1090.5567102791922,3119.28833214981,2858.2845339506853,3.981393814086914
MAPPO,S3_LARGE,1006,46492.65880000002,64781.396062305896,0.00044732156399505816,-1108.557867753058,1227.505024760539,1039.5414965419025,2.657860279083252
NearestNeighbor,S3_LARGE,1006,217916.87620000067,348583.03917014226,0.0004117477870955998,-1163.4893599610111,6251.542774546075,661.8475031406575,5.652726650238037
ClarkeWright,S3_LARGE,1006,196900.5137999999,313948.1016221496,0.0008457870650746502,-1148.8939869093106,6124.870744912711,1941.4529962616136,4.254818916320801
GeneticAlgorithm,S3_LARGE,1006,78838.98729999996,122784.41428820501,0.0009293044198423943,-1118.747465736052,2218.226078725147,2386.9024491156383,4.161430597305298
MAPPO,S3_LARGE,1007,5609.8616,6225.971243212774,0.00020381397974312992,-1039.7740131471373,111.58991093016571,303.80899332034153,2.779148578643799
NearestNeighbor,S3_LARGE,1007,217916.87620000067,348583.03917014226,0.0004394374075209578,-1095.7369263810394,6007.4618182644535,661.8475031406575,6.47665548324585
ClarkeWright,S3_LARGE,1007,196900.5137999999,313948.1016221496,0.000902665386040182,-1080.7394472694184,5768.507661116036,1941.4529962616136,6.782927989959717
GeneticAlgorithm,S3_LARGE,1007,65196.20899999995,112287.1373112171,0.0008484584044793259,-1044.3781073654861,2044.318200051618,2030.1558150635326,6.837815523147583
MAPPO,S3_LARGE,1008,18942.321099999997,26513.90179864637,0.0004627723507107504,-1084.2447283372994,399.6857780714779,786.1317484941142,3.0620057582855225
NearestNeighbor,S3_LARGE,1008,217916.87620000067,348583.03917014226,0.00041517364501699963,-1148.892329397629,7298.482131427658,661.8475031406575,5.982597589492798
ClarkeWright,S3_LARGE,1008,196900.5137999999,313948.1016221496,0.0008528242524212234,-1128.9444177692721,5673.90276271169,1941.4529962616136,4.088163614273071
GeneticAlgorithm,S3_LARGE,1008,97333.42309999993,132333.17267227743,0.0008248472122870063,-1101.09313631552,2654.392350468978,2057.7017905245543,3.7944486141204834
MAPPO,S3_LARGE,1009,14507.642899999999,18701.729250405828,0.00046483355421949316,-1068.9956057720867,314.2268233590878,1091.8416537934302,2.6250178813934326
NearestNeighbor,S3_LARGE,1009,217916.87620000067,348583.03917014226,0.0004114676624294414,-1134.2113129126649,5862.669791805043,661.8475031406575,5.599431276321411
ClarkeWright,S3_LARGE,1009,196900.5137999999,313948.1016221496,0.0008452116501609299,-1119.1656204869705,5610.394215645958,1941.4529962616136,4.095061302185059
GeneticAlgorithm,S3_LARGE,1009,93383.6306000001,173071.78488698395,0.0006836838891250955,-1098.4814906707813,2988.011563070176,1502.5954851197564,4.042243480682373
MAPPO,S3_LARGE,1010,4502.170999999999,4813.389781097962,0.00013021949165078347,-1083.9339133288684,84.03367972027974,303.80899332034153,2.6162915229797363
NearestNeighbor,S3_LARGE,1010,217916.87620000067,348583.03917014226,0.0004173418400960512,-1137.320546383387,5457.2616718659365,661.8475031406575,5.591079950332642
ClarkeWright,S3_LARGE,1010,196900.5137999999,313948.1016221496,0.0008572780258447837,-1123.6998306212831,5603.331426025439,1941.4529962616136,4.094919204711914
