algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
MAPPO,S4_SEVERE,1000,5920.351600000001,7736.2468151486355,0.00011484486342166316,-821.1980219396443,434.4297622434771,828.8891212740897,1.2774431705474854
NearestNeighbor,S4_SEVERE,1000,54168.54389999999,73704.12209425129,0.00023250327449422914,-877.8764384301427,5014.893035999668,1865.956195936321,1.0878958702087402
ClarkeWright,S4_SEVERE,1000,75092.06290000002,103319.63254579091,4.579883727509077e-05,-946.506776061473,6178.852516049684,220.29999947068282,1.0014066696166992
GeneticAlgorithm,S4_SEVERE,1000,2340.3390000000013,3038.282931369441,2.0498729568595914e-05,-836.7434410006599,132.26688965089906,134.59999924078585,1.1052331924438477
MAPPO,S4_SEVERE,1001,28326.1147,37841.47272002845,0.0001900162570969466,-767.5811741985441,2456.1879655005478,1470.2422589061941,0.8417277336120605
NearestNeighbor,S4_SEVERE,1001,51136.97319999999,69745.44770617507,0.0002288670342590033,-804.6046936733719,4578.075230035376,1735.2999961857684,0.9547791481018066
ClarkeWright,S4_SEVERE,1001,68920.8259,96678.62554218197,6.815199211772702e-05,-866.7466849694929,6140.94973229693,387.9631467067122,0.9167971611022949
GeneticAlgorithm,S4_SEVERE,1001,13705.072,21750.333088290783,5.930103963661686e-05,-774.4235968573151,989.8076466972476,451.063145523886,1.0440638065338135
MAPPO,S4_SEVERE,1002,35653.1182,49709.194031195235,0.00014083966162911404,-807.9638119107336,3106.1815260914746,941.5761166429483,0.7509713172912598
NearestNeighbor,S4_SEVERE,1002,53147.34789999999,73485.79380800619,0.00020153563680644267,-823.6098425345467,4214.592356601019,1426.383539769161,0.8839008808135986
ClarkeWright,S4_SEVERE,1002,67027.3712,93825.87535935415,8.35486753767063e-05,-873.5658287202472,5665.354091239141,483.9631467599839,0.8497335910797119
GeneticAlgorithm,S4_SEVERE,1002,10619.594800000006,14486.67081191381,4.9776459209689994e-05,-783.9751947509678,795.6147691290068,339.4087175549953,0.9602563381195068
MAPPO,S4_SEVERE,1003,39455.15029999999,55066.746102320736,0.0001406001756536004,-878.841478585726,3447.3195270356737,941.5761166429483,0.7591118812561035
NearestNeighbor,S4_SEVERE,1003,54020.48689999999,73200.86245073754,0.00020018058180098242,-895.2168336404743,5148.818821334169,1418.2835397672936,0.8975565433502197
ClarkeWright,S4_SEVERE,1003,70132.68359999999,97050.20901680086,8.643119147775919e-05,-944.4843789588689,6104.050205442491,508.1631463472217,0.98697829246521
GeneticAlgorithm,S4_SEVERE,1003,15920.704099999975,18538.759745449817,4.9916849594120887e-05,-857.9606264879769,1059.8659442935882,334.60871753934896,0.9974849224090576
MAPPO,S4_SEVERE,1004,3910.4662,4795.7474651486355,0.00011666409160834296,-785.2429006567857,221.32830794842448,918.2891212740898,0.7457442283630371
NearestNeighbor,S4_SEVERE,1004,51331.897000000004,70651.35857095517,0.0002497344061028082,-832.9761363267071,4911.549251319742,1880.9741307969175,0.898364782333374
ClarkeWright,S4_SEVERE,1004,63774.24609999999,88335.74466235362,9.540259559637267e-05,-888.8539547860236,5403.483171280845,605.2358052354722,0.8417263031005859
GeneticAlgorithm,S4_SEVERE,1004,14119.911799999998,20260.466280872555,5.2066120710422756e-05,-818.86622607977,1060.1852967216025,384.3087178186158,0.9899601936340332
MAPPO,S4_SEVERE,1005,6508.452400000002,8625.21119514863,0.00012276686445808306,-800.7151261058691,502.99348031222854,853.7891212740897,0.7656207084655762
NearestNeighbor,S4_SEVERE,1005,55913.9305,74612.06900969055,0.0002492913583082004,-857.0595796577321,4908.132567077453,1643.899996811617,0.9416897296905518
ClarkeWright,S4_SEVERE,1005,67513.91409999998,93516.66798067304,7.823862608904516e-05,-912.4019581143117,5713.183016723171,390.09999791234736,0.8791940212249756
GeneticAlgorithm,S4_SEVERE,1005,14146.133100000015,18330.44176135013,3.720107030650472e-05,-830.5922140406346,970.7619147332815,226.9999988950789,1.0473105907440186
MAPPO,S4_SEVERE,1006,4444.5868,5621.286805148636,0.00010187248465412364,-847.3349854675803,280.63103965585253,853.7891212740897,0.7568871974945068
NearestNeighbor,S4_SEVERE,1006,55262.234999999986,75363.55457743011,0.0002007561921378758,-908.7382476203361,4896.552249632477,1589.9561976676018,0.9300632476806641
ClarkeWright,S4_SEVERE,1006,68336.45809999996,93987.30671903891,7.82884605114256e-05,-956.6544905660546,5707.781180544395,508.1631463472217,0.906501293182373
GeneticAlgorithm,S4_SEVERE,1006,7550.387199999995,10296.20618528777,1.8097382108884382e-05,-875.4594402221587,564.2783287690136,113.79999919757248,1.0519664287567139
MAPPO,S4_SEVERE,1007,3997.153800000001,4492.328905465632,0.00013437919173567878,-749.4991689429405,185.95255720661817,812.0637545613661,0.8053379058837891
NearestNeighbor,S4_SEVERE,1007,53127.0822,71312.72191774366,0.0002481169264806018,-815.7048001955211,4875.953931537797,1654.599996811617,0.9680993556976318
ClarkeWright,S4_SEVERE,1007,81353.40989999998,111014.08239364246,0.00010319194342158229,-887.6254099984899,7760.704370101461,581.0358052220612,0.9930293560028076
GeneticAlgorithm,S4_SEVERE,1007,8349.452000000003,11678.95748399553,6.109082639124832e-05,-768.2526124017716,565.1487404721289,406.463146782289,1.1526427268981934
MAPPO,S4_SEVERE,1008,15297.408000000018,19301.52116950603,0.0001556894859424953,-807.8646321991457,1015.2173177235362,1174.8724710381323,1.1551399230957031
NearestNeighbor,S4_SEVERE,1008,56415.511399999974,76385.34589786713,0.000233605687911809,-870.2225959107877,5566.392815763415,1782.7487638562059,1.2023818492889404
ClarkeWright,S4_SEVERE,1008,75073.5421,104645.893562553,6.725895643810923e-05,-922.2888613500204,5821.217772855496,382.6999989850912,1.23215651512146
GeneticAlgorithm,S4_SEVERE,1008,6487.764299999997,7854.419607966524,2.3393588048881116e-05,-826.9218634774118,452.39345096879293,172.59999955520036,1.4157776832580566
MAPPO,S4_SEVERE,1009,8173.249299999998,10149.353120508036,0.0001614899377203872,-784.7474735435306,579.5855741447981,1111.789119275844,1.4278252124786377
NearestNeighbor,S4_SEVERE,1009,57122.122,78461.58062471022,0.00017325567047862166,-863.5414844889327,5057.574755858441,1206.150310023922,2.127562999725342
ClarkeWright,S4_SEVERE,1009,67098.42289999999,93720.133726656,9.643800546496156e-05,-900.2126107697921,6361.576942016662,590.0631466176778,1.9677469730377197
GeneticAlgorithm,S4_SEVERE,1009,7826.782799999999,9459.802553823189,5.3787262059627306e-05,-806.1454882632308,435.1204598791734,385.29999691098925,1.6964662075042725
MAPPO,S4_SEVERE,1010,9254.124,12473.360565148634,0.00010872498085374744,-842.7744232814098,592.0164368449616,780.9891212740897,1.0179557800292969
NearestNeighbor,S4_SEVERE,1010,54107.865899999975,73282.54606688274,0.00023571153280605036,-893.9799077919324,4996.072040744529,1767.4999949981457,1.147625207901001
