param,value,seed,total_cost,total_emission,service_level,total_reward,total_generated
demand,0.5,1000,5685.2154,5778.005853282858,0.02233555484423622,-102.09268518091265,61157.25362827128
demand,0.5,1001,4852.8994,4785.618872199439,0.02058143343369741,-97.42547692708943,57944.964704906495
demand,0.5,1002,5808.9137,6397.753523984984,0.020116415856462243,-97.58258569030244,60695.31979375461
demand,0.5,1003,4606.8531,4950.041238519757,0.017554502419588794,-106.69734985620904,60736.330199409225
demand,0.5,1004,4238.7608,4429.143548151496,0.016405929921833654,-99.24939910517507,59623.63591685668
demand,0.5,1005,4092.871399999999,4396.911764888719,0.015084037033849845,-109.3842398922529,59188.75000845873
demand,0.5,1006,4338.4749,4247.300593282858,0.019578461362676877,-107.7542441138574,59865.8480268113
demand,0.5,1007,3783.3813,3557.9324903037445,0.01786607732895836,-100.20031596018545,55898.69641602355
demand,0.5,1008,4228.4114,4633.2791392300915,0.01603891110908357,-107.67906436674399,60988.00510109932
demand,0.5,1009,4338.4749,4247.300593282858,0.019478382118809656,-100.15627751642938,60173.43665339704
demand,0.5,1010,5210.5743999999995,5137.260156666934,0.018691560421909115,-98.1504154599394,60868.374782339786
demand,0.5,1011,4653.1034,5051.188677741073,0.016368337888975078,-110.93488526068283,59902.86564410936
demand,0.5,1012,5102.0169,5216.737234879036,0.020126195859983678,-105.0942357635594,60665.82583091813
demand,0.5,1013,4685.8589,4768.7055300754155,0.01683865322963147,-107.29115744415512,62212.904998535276
demand,0.5,1014,4641.3063999999995,4914.623645747893,0.019184942206267343,-105.94073980275671,60146.186087984075
demand,0.5,1015,4809.1611,5212.588159448589,0.01681551785020778,-107.97255015656307,61151.61395576564
demand,0.5,1016,4685.8589,4768.7055300754155,0.017455739927227463,-107.4537312590389,60013.58510414917
demand,0.5,1017,4613.522999999999,4776.391999230091,0.017386948247253148,-104.00661581211554,60101.47253426208
demand,0.5,1018,4860.8059,5003.999854363365,0.015933108095215944,-107.0654388319149,60523.91930808367
demand,0.5,1019,5269.0574,5209.941893282858,0.021866455819620923,-107.08073458250315,62469.25445098318
demand,0.5,1020,4228.4114,4633.2791392300915,0.016132404118958506,-111.73115595758135,60634.55795701272
demand,0.5,1021,4360.765,4684.488224565919,0.016093005835933857,-109.35383579152942,60927.73192135947
demand,0.5,1022,6814.768899999999,7960.35333875353,0.017599852202215462,-110.07772719017626,62421.04380997977
demand,0.5,1023,5274.9559,6090.888124080539,0.017654468272975704,-104.79910428821435,60392.41960018351
demand,0.5,1024,4653.1034,5051.188677741073,0.01614153849172504,-100.16296170756962,60744.540917416445
demand,0.5,1025,4338.4749,4247.300593282858,0.019752069608858145,-103.30671954760932,59339.66494382766
demand,0.5,1026,4228.4114,4633.2791392300915,0.015385677632197553,-107.71551857826496,63577.3877446862
demand,0.5,1027,7337.560999999999,8227.297399158348,0.020614987635762756,-109.34950012846251,62426.421759602155
demand,0.5,1028,4444.628000000001,4773.029864380719,0.01601090986894221,-112.89279442597133,61240.13896815117
demand,0.5,1029,4359.3079,5045.308998849086,0.014997297399268094,-111.229976023527,62932.999358755
demand,1.0,1000,9823.703399999999,11365.204079990064,0.011486868924488976,-375.20681613792823,122314.50725654257
demand,1.0,1001,7444.8508999999995,8375.860849158347,0.011104674230737629,-350.03839270981257,115889.92940981299
demand,1.0,1002,9715.5677,11712.636123984983,0.01005820792823118,-363.5066524534604,121390.63958750921
demand,1.0,1003,6930.4264,7529.9202203043915,0.012021722966876928,-380.3189051848483,121472.66039881845
demand,1.0,1004,4656.366399999999,4993.980648008852,0.008202964960916888,-365.3220904939419,119247.27183371336
demand,1.0,1005,8060.9304,9813.391330475082,0.0075420185169250455,-380.4726973660527,118377.50001691746
demand,1.0,1006,7577.0144,8400.292920304391,0.012196525393826898,-383.90559221227625,119731.6960536226
demand,1.0,1007,6199.6399,6418.285209990065,0.012567472968977873,-352.2785126367376,111797.3928320471
demand,1.0,1008,6003.106899999999,6519.556433282857,0.009609112403282516,-375.6272931861205,121976.01020219864
demand,1.0,1009,5999.843900000001,6438.152998887117,0.011199303039552638,-366.1256727647004,120346.87330679408
demand,1.0,1010,3815.8123000000005,3934.806129206789,0.008444655439515792,-374.0550464596267,121736.74956467957
demand,1.0,1011,8175.6374000000005,9373.39897728344,0.010741722444174035,-377.37213158627304,119805.73128821873
demand,1.0,1012,7435.814900000001,8362.372520718378,0.011378036888454846,-376.3274057941245,121331.65166183627
demand,1.0,1013,7086.0464,7884.9315509402595,0.011095093601384881,-369.59147705031353,124425.80999707055
demand,1.0,1014,6930.4264,7529.9202203043915,0.012139678060614823,-367.5787888394563,120292.37217596815
demand,1.0,1015,7608.753900000001,9276.568875603216,0.008717644447873015,-387.8941246225771,122303.22791153128
demand,1.0,1016,6347.2279,6958.534366031765,0.00918859863752154,-374.09527903877256,120027.17020829834
demand,1.0,1017,7499.1803,8175.068849990064,0.0116886546466731,-368.2513957595903,120202.94506852416
demand,1.0,1018,7764.396100000001,8892.88116322101,0.010391803035521218,-383.6016444608996,121047.83861616734
demand,1.0,1019,8791.591400000001,10070.447520304393,0.011688235150223783,-386.55174784098506,124938.50890196636
demand,1.0,1020,7864.2719,8690.541049990064,0.0115858906188044,-380.5905078709439,121269.11591402545
demand,1.0,1021,7444.8508999999995,8375.860849158347,0.010561035772514714,-373.64590604078165,121855.46384271893
demand,1.0,1022,13240.6111,16647.387392259283,0.009242885362073551,-384.2210308770806,124842.08761995954
demand,1.0,1023,7804.965300000001,9219.731085238094,0.009934161137338606,-370.0758585116658,120784.83920036702
demand,1.0,1024,6314.4724,7318.990455866165,0.008070769245862818,-365.32686064345455,121489.08183483289
demand,1.0,1025,6050.9103000000005,6490.744758824493,0.011356662573855059,-372.9175105180807,118679.32988765532
demand,1.0,1026,11889.517999999998,14172.026959990066,0.011049610264433204,-378.6389001972014,127154.7754893724
demand,1.0,1027,11902.0436,14322.215836750347,0.010644690781118606,-376.3984698379003,124852.84351920431
demand,1.0,1028,5583.6858999999995,6013.829977741073,0.009588566952724408,-381.84184951737956,122480.27793630234
demand,1.0,1029,7611.7659,9484.978958849086,0.0074986486996349725,-394.72812288268346,125865.99871751
demand,1.5,1000,13614.6604,16715.920440304395,0.007959321174668868,-653.1902999237765,183471.76088481324
demand,1.5,1001,10236.5984,12186.651799158348,0.007403116153825833,-615.0174428988448,173834.89411471965
demand,1.5,1002,12693.9989,15761.53844398498,0.0067054719521518966,-634.4736216102765,182085.95938126344
demand,1.5,1003,9431.9149,10929.992498429483,0.008014481977918033,-662.8377419470665,182208.99059822765
demand,1.5,1004,6003.106899999999,6519.556433282857,0.0065526653119648975,-629.9588232958616,178870.9077505699
demand,1.5,1005,12028.989400000002,15229.870896061446,0.005028012344610824,-659.5594538096742,177566.2500253752
demand,1.5,1006,9722.1739,11340.711170304392,0.008131016929216568,-667.4734205561696,179597.5440804336
demand,1.5,1007,7130.222400000001,7688.5488599900655,0.00837831531265493,-618.7714780716822,167696.0892480711
demand,1.5,1008,6933.689399999999,7482.197733282857,0.007465846168017077,-651.3928158295109,182964.01530329822
demand,1.5,1009,7861.0089,8800.183870304392,0.008089453600461857,-640.566182585026,180520.30996019096
demand,1.5,1010,10300.603400000002,12044.626377689858,0.006456623146703991,-656.7484441424099,182605.12434701886
demand,1.5,1011,10404.233699999999,12464.490927283441,0.007161148296112163,-654.6813986962976,179708.5969323274
demand,1.5,1012,9769.612900000002,11548.05327923788,0.007585357925641483,-658.1711732756615,181997.4774927553
demand,1.5,1013,9486.233900000001,11361.675029044545,0.007396729067592016,-649.4213808569872,186638.7149956061
demand,1.5,1014,9522.3779,11067.985648429483,0.008093118707074706,-643.6986869664056,180438.55826395194
demand,1.5,1015,8990.4972,10616.75391605497,0.006426717663735132,-666.7018476252106,183454.84186729626
demand,1.5,1016,8681.0259,9759.988982317955,0.007974949684998928,-639.115308042303,180040.75531244645
demand,1.5,1017,9725.4369,11231.068349990066,0.007792436431111718,-643.438876886589,180304.4176027855
demand,1.5,1018,9956.539100000002,11659.730804507219,0.00784104582451748,-665.728386012004,181571.7579242498
demand,1.5,1019,12048.9038,14524.138380241768,0.007792156766811552,-671.9057564064792,187407.76335294844
demand,1.5,1020,11072.1774,13069.395959990066,0.007723927079200162,-662.7683209451009,181903.6738710375
demand,1.5,1021,9386.5068,10985.659529158349,0.007040690515009417,-649.7345692863174,182783.19576407823
demand,1.5,1022,19568.292900000015,25323.3922903987,0.006161923574713851,-664.811373962667,187263.13142993883
demand,1.5,1023,10426.180300000002,13109.686832084019,0.005884822757664157,-651.1643371776598,181177.25880055156
demand,1.5,1024,8363.0276,9739.667225866166,0.006858286228988585,-632.0087734134958,182233.62275224907
demand,1.5,1025,7912.0752999999995,8852.775630241766,0.008203117160314155,-650.7257105815116,178018.99483148305
demand,1.5,1026,16970.3009,21234.548910304395,0.0076563419960404555,-658.7908868314806,190732.16323405888
demand,1.5,1027,16037.967,19738.099277001293,0.007433924464952085,-651.2791594555591,187279.2652788065
demand,1.5,1028,7003.864999999999,7859.027429158347,0.007004773527091669,-661.3554675028403,183720.41690445293
demand,1.5,1029,11400.143900000003,14657.935318849086,0.0049990991330863795,-680.7579560399803,188798.99807626422
demand,2.0,1000,17068.5674,21368.684640304393,0.005969490881004963,-932.2162697519169,244629.01451308513
demand,2.0,1001,12097.7634,14727.179099158348,0.0055523371153685,-879.300821955992,231779.85881962598
demand,2.0,1002,15381.285300000001,19432.25096398498,0.00502910396411583,-905.445456814248,242781.27917501843
demand,2.0,1003,10867.4589,12928.557448429485,0.0060108614834386434,-944.4135076030556,242945.3207976369
demand,2.0,1004,7103.869200000001,7797.313119477102,0.005613550244060543,-897.2239495119054,238494.5436674267
demand,2.0,1005,2805.2414,2843.5698006764633,0.0032541409835972488,-926.7922257926356,236755.00003383492
demand,2.0,1006,11583.3389,13881.238470304394,0.006098262696913024,-950.8154118181703,239463.3921072452
demand,2.0,1007,8991.3874,10229.076159990063,0.006283736484489392,-886.320454073231,223594.7856640942
demand,2.0,1008,8731.7298,9895.794559990065,0.005759373134478797,-929.6572832266093,243952.02040439728
demand,2.0,1009,8791.591400000001,10070.447520304393,0.006067090200346872,-914.6565918879562,240693.74661358816
demand,2.0,1010,11921.083000000002,14299.030333795847,0.004842467360936692,-936.3393159602032,243473.49912935914
demand,2.0,1011,12628.7539,15451.991705408533,0.005370861222087503,-933.1943235455823,239611.46257643745
demand,2.0,1012,6297.791700000001,7134.251169594674,0.0056890184381039,-932.322593952222,242663.30332367253
demand,2.0,1013,11664.2386,14325.48271778593,0.005547546800692616,-928.1078035473495,248851.6199941411
demand,2.0,1014,11383.542899999999,13608.512948429485,0.006069839030306867,-919.1609173675153,240584.7443519363
demand,2.0,1015,11411.768300000002,14450.64438712589,0.00435882222393734,-952.9574519975861,244606.45582306257
demand,2.0,1016,10619.403500000002,12334.804153981095,0.005981212263754374,-915.8890369700936,240054.34041659668
demand,2.0,1017,12238.3804,14624.765549990065,0.005844327323337034,-918.9871456687658,240405.89013704832
demand,2.0,1018,12805.674600000002,15870.42438198999,0.004870026957120073,-954.9791216987708,242095.67723233468
demand,2.0,1019,15242.5443,18897.28293024177,0.005844117575113638,-957.3578051304032,249877.01780393271
demand,2.0,1020,13398.907299999997,16252.823169990066,0.00579294530940286,-944.2852027529818,242538.2318280509
demand,2.0,1021,11381.8834,13774.498077283442,0.005280517886257775,-925.974940926702,243710.92768543787
demand,2.0,1022,26128.625300000025,34243.08024836284,0.004621442681038291,-945.4665716557892,249684.17523991907
demand,2.0,1023,15878.855599999999,19822.16038720098,0.006598554427401309,-918.2945208140507,241569.67840073403
demand,2.0,1024,9837.0064,11641.200755408532,0.00529644266498366,-902.7500022956732,242978.16366966578
demand,2.0,1025,9659.0493,11275.70103024177,0.0061523378702350055,-928.9397960511762,237358.65977531063
demand,2.0,1026,21261.5243,26688.164846970394,0.006185874982362353,-935.9522328453655,254309.5509787448
demand,2.0,1027,20491.0835,25816.692005126384,0.005575443348713366,-929.9911866166727,249705.68703840862
demand,2.0,1028,8326.161900000001,9655.46557728344,0.005253580145320873,-942.316469251758,244960.5558726047
demand,2.0,1029,14679.286300000003,19115.170198849086,0.003749324349818469,-966.4498769432641,251731.99743502
