tag,scenario,seed,reward_weights,capacity_scale,total_cost,total_emission,service_level,total_time,total_delivered,total_reward
rw_emisHeavy,S2_MEDIUM,1000,"0.10,0.10,0.70,0.10",1.0,11999.7949,14760.541527415204,0.006855482342559303,231.24463925429626,615.434472725862,-371.58277466785484
rw_emisHeavy,S2_MEDIUM,1001,"0.10,0.10,0.70,0.10",1.0,18205.4219,21129.035197005025,0.015033450991696366,391.24507762615593,1519.135099620228,-293.29127593774444
rw_emisHeavy,S2_MEDIUM,1002,"0.10,0.10,0.70,0.10",1.0,79935.97120000006,107067.1684675967,0.006217863552770474,1737.7274102745157,531.6999589452156,-401.3407008198255
rw_emisHeavy,S2_MEDIUM,1003,"0.10,0.10,0.70,0.10",1.0,21949.384,26132.16146182181,0.014232579908609582,499.5079644580494,1519.1350996202277,-335.71695516350104
rw_emisHeavy,S2_MEDIUM,1004,"0.10,0.10,0.70,0.10",1.0,78060.46260000004,104155.1716377185,0.009121591542834847,1740.7672683036171,864.6344316710776,-385.8716611741195
rw_emisHeavy,S2_MEDIUM,1005,"0.10,0.10,0.70,0.10",1.0,20250.245600000002,23850.54807298105,0.014717539834996853,417.5465699784899,1519.135099620228,-321.665767308295
rw_emisHeavy,S2_MEDIUM,1006,"0.10,0.10,0.70,0.10",1.0,20923.901400000002,25123.223845655564,0.014325695545946567,454.1437306970303,1505.5055786468085,-343.6887136280598
rw_emisHeavy,S2_MEDIUM,1007,"0.10,0.10,0.70,0.10",1.0,16259.3672,18833.050601173276,0.013163956833930806,337.3788856953122,1248.6055790736823,-320.371884626871
rw_emisHeavy,S2_MEDIUM,1008,"0.10,0.10,0.70,0.10",1.0,22647.4519,27157.8111517123,0.014283346137700267,480.0338386663682,1519.1350996202277,-325.57727928765416
rw_emisHeavy,S2_MEDIUM,1009,"0.10,0.10,0.70,0.10",1.0,78924.47320000005,105467.2977345307,0.008021732558921647,1647.2926036413753,742.2999573761234,-399.9095875528459
rw_emisHeavy,S2_MEDIUM,1010,"0.10,0.10,0.70,0.10",1.0,15429.177099999999,19445.03181218241,0.006888018184602227,304.0471913768517,615.434472725862,-377.7968567949734
rw_emisHeavy,S2_MEDIUM,1011,"0.10,0.10,0.70,0.10",1.0,22695.606600000006,27352.260228230076,0.012371742995872619,526.6557466841946,1272.4714707129951,-335.30218087276864
