tag,scenario,seed,reward_weights,capacity_scale,total_cost,total_emission,service_level,total_time,total_delivered,total_reward
rw_timeHeavy,S2_MEDIUM,1000,"0.10,0.70,0.10,0.10",1.0,8324.6059,9031.6868068032,0.013261815532225815,161.33527995096745,1399.0219975489122,-362.224187206566
rw_timeHeavy,S2_MEDIUM,1001,"0.10,0.70,0.10,0.10",1.0,5619.2024,5600.516491794911,0.01064698206423063,109.04194457362632,1170.3312799588466,-344.50464722123417
rw_timeHeavy,S2_MEDIUM,1002,"0.10,0.70,0.10,0.10",1.0,7526.836100000001,7944.75786732183,0.01336274722386251,152.43367424621295,1399.0219975489122,-345.73523499936033
rw_timeHeavy,S2_MEDIUM,1003,"0.10,0.70,0.10,0.10",1.0,6035.3604000000005,6024.83951287833,0.011585065757808164,125.80863707835852,1343.7220386036965,-376.2332069414671
rw_timeHeavy,S2_MEDIUM,1004,"0.10,0.70,0.10,0.10",1.0,9156.9219,10167.814726803197,0.013602931179950881,195.23357047279578,1399.0219975489122,-351.3460015341051
rw_timeHeavy,S2_MEDIUM,1005,"0.10,0.70,0.10,0.10",1.0,7049.7778,7569.455921550923,0.011018123468166241,143.04026207316682,1240.7511911467625,-369.6422251514421
rw_timeHeavy,S2_MEDIUM,1006,"0.10,0.70,0.10,0.10",1.0,7908.447900000001,8463.622846803199,0.013547894881772105,162.7871229616576,1399.0219975489122,-373.9196490919811
rw_timeHeavy,S2_MEDIUM,1007,"0.10,0.70,0.10,0.10",1.0,5619.2024,5600.516491794911,0.011036733224226962,115.19123033617743,1170.3312799588466,-351.5689622466371
rw_timeHeavy,S2_MEDIUM,1008,"0.10,0.70,0.10,0.10",1.0,9156.9219,10167.814726803197,0.013298618551811182,200.1050135559232,1399.0219975489122,-366.17987662187335
rw_timeHeavy,S2_MEDIUM,1009,"0.10,0.70,0.10,0.10",1.0,7908.447900000001,8463.622846464372,0.013478642090136465,169.9166722368766,1399.0219975489122,-357.0019636264978
rw_timeHeavy,S2_MEDIUM,1010,"0.10,0.70,0.10,0.10",1.0,6909.556000000001,6886.650061110842,0.010694952536125832,139.70452102698613,1238.4220386036966,-378.43231006050905
rw_timeHeavy,S2_MEDIUM,1011,"0.10,0.70,0.10,0.10",1.0,10309.890400000002,11963.353576396055,0.011630676593699648,212.19984276001765,1170.3312799588466,-370.54031798316686
rw_timeHeavy,S2_MEDIUM,1012,"0.10,0.70,0.10,0.10",1.0,5619.2024,5600.516491794911,0.010169465122671766,106.57011886595832,1170.3312799588466,-378.81152106513923
rw_timeHeavy,S2_MEDIUM,1013,"0.10,0.70,0.10,0.10",1.0,9189.1603,9944.368313541068,0.012306915350365596,190.39807105714266,1339.7511911421523,-365.7489544678005
rw_timeHeavy,S2_MEDIUM,1014,"0.10,0.70,0.10,0.10",1.0,7908.447900000001,8463.622846803199,0.013484748889795126,169.6013239723942,1399.0219975489122,-358.37378055670104
rw_timeHeavy,S2_MEDIUM,1015,"0.10,0.70,0.10,0.10",1.0,7959.514300000001,8516.21460692268,0.013263038595550695,176.7530684227383,1399.0219975489122,-372.311634828706
rw_timeHeavy,S2_MEDIUM,1016,"0.10,0.70,0.10,0.10",1.0,9073.966400000001,9811.788981248983,0.013685415314687173,200.1046164170604,1419.5312384615734,-359.49082755752977
rw_timeHeavy,S2_MEDIUM,1017,"0.10,0.70,0.10,0.10",1.0,9156.9219,10167.814726803197,0.013494781107287189,205.32809731037528,1399.0219975489122,-359.48418432564137
rw_timeHeavy,S2_MEDIUM,1018,"0.10,0.70,0.10,0.10",1.0,8336.0264,9170.884830158579,0.011741483098314284,165.56901981407265,1198.190716313595,-388.5340709062114
rw_timeHeavy,S2_MEDIUM,1019,"0.10,0.70,0.10,0.10",1.0,7908.447900000001,8463.622846803199,0.012983286309460473,171.32472092477448,1399.0219975489122,-375.7655446825235
rw_timeHeavy,S2_MEDIUM,1020,"0.10,0.70,0.10,0.10",1.0,8978.1433,9988.490086922682,0.013218637078936812,172.3757641734933,1399.0219975489122,-370.468174894505
rw_timeHeavy,S2_MEDIUM,1021,"0.10,0.70,0.10,0.10",1.0,7492.289900000001,7895.558887409359,0.013311774302091703,154.41818959357522,1399.0219975489122,-357.57406181384863
rw_timeHeavy,S2_MEDIUM,1022,"0.10,0.70,0.10,0.10",1.0,10547.7129,11679.741372200404,0.014546476006388543,219.1041388713231,1592.9219972656506,-355.53539081537593
rw_timeHeavy,S2_MEDIUM,1023,"0.10,0.70,0.10,0.10",1.0,10386.1193,11527.071951848158,0.01472132135061374,204.21208379263314,1555.0219973619494,-356.0221665842855
rw_timeHeavy,S2_MEDIUM,1024,"0.10,0.70,0.10,0.10",1.0,7492.289900000001,7895.558887409359,0.013351919428909993,151.12465839439125,1399.0219975489122,-346.87045690137967
